,Screen_name,Text,Location,Sentiment,Latitude,Longitude
41,inquirerdotnet,"(+) Six more Filipinos abroad have been infected with the coronavirus disease, increasing the total COVID-19 cases among Filipinos overseas to 11,423. | @consinq",Makati City,+,14.5591272,121.0202094
42,franksnstein,() The United States leads the world in COVID-19 cases and deaths.,"Dallas,Tx",,32.7762719,-96.7968559
43,AguluNwoke,"(+) Japanese Yen May Rise on Covid-19 Lockdowns, Trump Legal Challenges","England, United Kingdom",+,52.7954791,-0.540240286617432
44,RegulationsBot,() Additional Policy and Regulatory Revisions in Response to the COVID-19 Public Health Emergency @CMSGov,United States,,39.7837304,-100.4458825
46,slep41,(+) White House chief of staff Mark Meadows tests positive for COVID-19 via @USATODAY,"Deerwood,MN",+,46.4735725,-93.8988695
47,JoanGralla,() Opinion | How North Dakota became a covid-19 nightmare - The Washington Post,New York City,,40.7306458,-73.9866136
48,Swintonlad3,(+) @JayEdResists @dbtclctor2 We're pleased to report that COVID-19 is resting comfortably and should make a full recovery,United States,+,39.7837304,-100.4458825
49,Mujtaba_ch1,"(+) @inoumanwrites @hamzashafqaat But the issue right now is in the educational institution of Islamabad, there are covid-19 positive cases came out , we should think about safety first and try not be emotional .",PAKISTAN,+,30.3308401,71.247499
50,BCDemea,() U.K.: Two terminals will close at Manchester Airport from 11 November during COVID-19 lockdown,EMEA,,-2.3917722,121.5230074
51,TravelOnADream,"(+) We are all dreaming of travel. Where is the first place you are going to go to when Covid-19 is finally over?!?!? No matter where you want to travel to, contact ToaD at vacations@travelonadream.com to book your travel needs. #travelonadream #travelgoals #ToaD #adventureawaits","DeForest, WI",+,43.2477691,-89.3437277
52,infomcml,() The Manitoba Crafts Museum and Library Trivia Night is only a week away. It's being hosted by Zoom - so it's 100% Covid-19 Restriction Compliant. Do you have your tickets yet. Only $12.50 for individuals and $50 for a team of 4.,1-329 Cumberland,,36.1929877,-86.6723704
53,EvanDalka,() @MagicJohnson @UncleBuds_Hemp Why are we making tech deals with China??? Their must be retribution for the irresponsible actions of releasing COVID-19 on the world!!!,"Torrance, CA",,44.9955309,-79.5692407
54,DCarlosPhipps,"(+) @jsolomonReports her social media. Facebook quickly issued a strike to her account because “they said only information that they agree with about COVID-19 ... was acceptable,"" she said. Her account has since been demonetized, preventing her from using the page as a source of income.","Lehigh Acres, FL",+,26.6040585,-81.6581333096742
56,AntibodyEngIC,() This joint Informa Connect and @Pharma_Intell report reveals the perspective of #pharma professionals around deal-making during COVID-19 and the commercial ramifications of the pandemic,"Boston, MA",,42.3602534,-71.0582912
57,TommyBeer,"(+) For the third consecutive day, the United States has set a new world record for the most Covid-19 cases recorded in a single 24-hour span, with more than 132,700 new cases on Friday. The U.S. is now AVERAGING 109,683 new cases per day this week.",New York,+,40.7306458,-73.9866136
58,talklandscape,"(-) #LIJournal mobile reads How green is our recovery? It's vital that our economic recovery from COVID-19 addresses this, by investing in green, nature-based infrastructure. @publicbenemy reflects on the LI's recently published Greener Recovery paper.",Great Britain,-,14.5530372,121.1143249
59,ElizaMarphy123,(-) Here’s How COVID-19 May Impact Your Mental Health,"Ohio, USA",-,40.2253569,-82.6881395
60,J2daMd,"(+) Loud mouth science-denier gets COVID-19 and wants to keep it quiet so he can stick to his rant, out of control superspreader","Lebanon, TN",+,36.2079779,-86.2910945
61,BusterHighman9,(+) @future_fangirl @florian_krammer COVID-19 isn't a virus. It's the disease which is caused by the SARS-CoV-2 virus. But I'm sure you already knew that. *(sarcasm),Uranus ,+,60.2009107,24.8242259
63,womenspowergap,"(-) “The COVID-19 crisis could set women back by half a decade,” resulting in “far fewer #womeninleadership—and far fewer women on track to be future leaders. All the progress we’ve seen over the past six years could be erased.” #GenderParityNow","Massachusetts, USA",-,42.3788774,-72.032366
64,world_covid19,"(+) Coronavirus in B.C.: Records shattered as B.C. announces 1,120 new COVID-19 cases from the weekend | CTV News #CoronavirusOutbreak #CoronaVirusUpdates via @ctvnews",WORLDWIDE,+,53.5120412,-2.2434612
65,RichardGEarl,() COVID-19 reduces public dimension of Remembrance Day commemorations,"Nanaimo, BC",,49.1637594,-123.9379719
66,WorldCOVID19,(+) @BBCWalesNews WALES. Public Health Wales. 32 more deaths. Number of suspected COVID-19 deaths* reported to PHW. Announced on Saturday. #coronavirus disease 2019 (COVID-19) #COVID19 #Wales,United Kingdom,+,25.2232283,55.1594933008754
67,AugFreePress,(+) The Central Shenandoah Health District will hold free COVID-19 testing events throughout the district next week.,"Waynesboro, VA",+,38.0652286,-78.9058876592407
68,TheFederal_in,() RBI Governor recovers from COVID-19,India,,22.3511148,78.6677428
69,Gppw55George,"(+) Three days in a row over 100,000 new cases of Covid-19 in America. I think you need an intervention sonny boy.",Chandler Arizona,+,33.3067132,-111.8408489
70,jeremy_hume,"(+) @BCDemea The so-called new normal, in which Boris J dictates how many people you can interact with, is dystopian. Our country has become a police state. Am I the only one who is genuinely more worried about government overreach than COVID-19 (a condition with a 99.5%+ recovery rate)?",Oxford,+,51.7520131,-1.2578499
71,TxMBRS,"(+) Thanks for bringing this to my attention @ashofficial ❤️ The 3M #ExcludedUK taxpayers need a lifeline and the Chancellor of the Exchequer, Mr Rishi Sunak must act. Petition: One-off Grant To Be Paid To Anyone Who Has Not Benefited From A Covid-19 Scheme",United Kingdom,+,25.2232283,55.1594933008754
72,AjisebioyoGsm,"() Covid-19: Oyo urges vigilance in tertiary institutions, religious centres, workplaces The Oyo State COVID-19 Task Force has directed the management of schools, workplaces and religious centres to ensure strict compliance with established... Read more&gt;&gt;&gt;","Oyo, Nigeria",,8.2151249,3.5642897
73,reinildo,"() Entra na minha casa, entra na minha vida... No infections among 56,000 people who traveled abroad after receiving Sinopharm-developed COVID-19 vaccine: developer - Global Times","Feira de Santana, Bahia",,-12.2578934,-38.9598047
74,briandalynj,"(+) Well, damn, I thought COVID-19 was going to magically go away once the election was over. Maybe they have to finish counting votes to make the virus magically disappear? Stop the count?",New Jersey,+,40.0757384,-74.4041622
75,TrimbleRodger,(+) Matt Gaetz tests positive for Covid-19,"Perth, Western Australia",+,-31.9527121,115.8604796
76,TalyaJW,"(+) Interesting read about how therapeutics are trying to be developed for #COVID19 - Fauci, NIAID Look to Past to Inform Future of COVID-19 Therapies @medpagetoday","Toronto, Ontario, Canada",+,43.653963,-79.387207
77,EastmanLewis,(+) I know some peoples may not like this but I am praying for President Trump I think he realizes that he let his ego got the best of him in some situations President Trump did some good things in his 4 years he did but his handling of race related issues an Covid-19 issues was bad,tuscaloosa alabama ,+,33.2668398,-87.4862182
78,newsshala2,"(+) UK PM Boris Johnson mentions Ram, Ravana in COVID-19 address, says Diwali teaches us that light triumphs over darkness, good over evil",panipat,+,29.3912753,76.9771675
79,quietpublicity,"() @EricTrump The CON is over The lies are over The bigotry is over Covid-19 deaths to be tackled properly. Russia's meddling is over Abusing women is over. Rebuilding our economy started on the 3rd America has spoken, advise daddy to move out and move on.",Monaco,,43.63071345,7.47616101640138
80,LabourHannah,"(+) @artisannes @OWandsworth Current lockdown says ' Non essential shops must close', businesses need support from the Local Authority regarding rates. The A24 issue shouldn't be an issue in lockdown. Combating Covid-19 and keeping everyone alive is a lot more important. If we all die, the A24 won't matter!","London, England",+,51.5073219,-0.1276474
81,esb_FI,() From the archives... How We’re Physical Distancing During the COVID-19 Pandemic,"Vancouver, British Columbia",,49.2608724,-123.1139529
83,MelanieMaine,"(-) @JenniferJJacobs @tylerpager @MarioDParker Wherever Trump goes, Covid-19 follows. He’s a super spreader who refuses to stop getting people sick. Yet almost half the country voted for him. I just don’t get it.","Maine, USA",-,45.709097,-68.8590201
84,DailyQudrat,(-) Chuadry shujaat tested negative for Covid-19 - #pakistan #PTI #PMLN #paknews #PMIMRANKHA...,Pakistan,-,30.3308401,71.247499
85,canada_hcouncil,() Insufficient healthcare measures and what needs to be done to stop COVID-19 in Canada,Montreal ,,45.4972159,-73.6103642
86,ShaShaFaithwalk,"(-) @realDonaldTrump Where was all this energy to fight COVID-19 and all the deaths. How about the families who lost their jobs or homes! Its always about you and your needs! Your DONE!! PACK YOUR SUITS, TIES, AND LACE FRONT HALF WIGS AND BEAT IT!! We had enough.. you see the numbers going up!","Newark, NJ",-,40.735657,-74.1723667
87,MPSEnfield,"(+) Officers will be out patrolling across #NorthArea this weekend. We will continue to engage with people proportionately, fairly and with common sense, using the well-established 4Es approach to support the new Covid-19 regulations. 1. Explain 2. Engage 3. Encourage 4. Enforce",Enfield,+,51.6520851,-0.0810175
89,usask,(+) ICYMI: COVID-19 research got a boost at @VIDOIntervac at #USask thanks to new equipment that will “provide a critical dimension to our current efforts to understand disease and develop treatments.”,"Saskatoon, SK",+,52.131802,-106.660767
90,geral_hammonds,(+) @benrileysmith Tens of millions of people are going to get covid-19 just like they caught H1 N1. The sooner that is accepted the better.,"Bogalusa, LA",+,30.7910204,-89.8486858
92,spcbsnfratsor,"(+) The COVID-19 Pandemic has bequeathed tantamount entailing dilemmas to all edges of the globe. As we all know, Frontliners are at high risk of getting infected by the corona virus since their field of work requires interaction with people. +++",Davao City,+,7.22650725,125.454887691355
93,Interasma,"(+) Top story: COVID-19 and COPD: a narrative review of the basic science and clinical outcomes | European Respiratory Society , see more",worldwide,+,53.5120412,-2.2434612
94,gl33p,"(+) Where does my mind go with Thanksgiving? Right after our foolishly filled schools and colleges and universities let out? That Thanksgiving? Dark places. Where families have traditional gatherings, in almost every state, the most popular Thanksgiving side dish will be covid-19 😞","Madison, WI",+,43.074761,-89.3837613
95,NewhamLondon,(-) #RemembranceSunday services will be different this year due to Covid-19 restrictions &amp; national lockdown. The annual parade at Newham Town Hall has been cancelled but a small service will be broadcast on Sunday morning on: #NewhamRemembers,London Borough of Newham,-,51.52999955,0.0293179602938221
96,Connectigreg,"(+) @MarkMeadows @realDonaldTrump Your COVID-19 diagnosis is something akin to the frosty, creamy sweet icing on the ""Make America Great Again"" cake - right, sir?","Connecticut, USA",+,41.6500201,-72.7342163
97,MalumeTemba,(+) The slow pace is pardonable! it's mostly a reflection of commendable efforts states took to protect their residents from COVID-19 as well as high voter turn out. In 2016 it took them a day to tally 115 million votes+. In 2018 it took us more than 3 days to tally 4 million votes.,Zimbabwe,+,-18.4554963,29.7468414
98,MamuduElijah,(+) @wizkidayo You said something of getting married this year but with the whole Covid-19 stuff I know that is not possible anymore but is it something we should be expecting very soon Or it just normal cruise level? #AskWizkid #MadeinLagos,"Abuja, Nigeria",+,9.0643305,7.4892974
100,TB_Times,"(-) Tampa General leader Dr. Andrew Myers says patients in his COVID-19 unit lately are sicker, and many have no idea where they contracted the virus. “If we don’t see a change in trajectory, we could see a very difficult time coming forward,” Myers says:","St. Petersburg, Florida",-,27.7703796,-82.6695085
101,LabourHannah,"(+) Current lockdown says ' Non essential shops must close', businesses need support from the Local Authority regarding rates. The A24 issue shouldn't be an issue in lockdown. Combating Covid-19 and keeping everyone alive is a lot more important. If we all die, the A24 won't matter!","London, England",+,51.5073219,-0.1276474
102,iElielSepulchro,"(+) White House officials were aware of chief of staff Mark Meadows' COVID-19 diagnosis earlier this week, despite him being seen without a mask () (#followback) (#siguemeytesigo) (#business) (#news)",Asgard,+,69.6590243,18.9134319
103,Heerak4Congress,"(+) BREAKING NEWS! VIRGINIA has 2,103 new cases in 24 hours! As Heerak predicted, Virginia experiences COVID-19 spike after Halloween 🎃 parties &amp; Trick-or-Treating! @ArlingtonVA @AlexandriaVAGov @fairfaxcounty @FallsChurchGov @GovernorVA See pinned tweet!","Arlington, Virginia",+,38.8903961,-77.0841585
104,HoneydippedC,"(+) Due to covid-19 I am doing a quick givaway of $1000 to the first 400 people to like and retweet this ( drop your cashapp , zelle, or venmo to get paid ) 🖤💰🥳","Brooklyn, NY",+,40.6501038,-73.9495823
105,HammertimeAgain,"(+) US coronavirus: New Covid-19 deaths have topped 1,000 for four straight days as infections soar Hmm It seems we ARE still talking about the #coronavirus after the #elections aren't we? So much for that theory #MoronInChief 🥺🤔😷🙏",NJ,+,40.0757384,-74.4041622
106,JCorduroy,"(-) @MidniteMirth @DownieSeb I think it's called ""@mattgaetz Gets FUCKED RAW by COVID-19 and @realDonaldTrump""","Portage, MI",-,42.2011538,-85.5800022
107,Mecoy,"(+) Oklahoma reports 1,045 COVID-19 related hospitalizations, including 312 people in intensive care. Both numbers are near all-times highs. Meanwhile, OKC hospitals are working together to deal with the surge.",Oklahoma City,+,35.4729886,-97.5170536
109,Sha_Elise24,"(-) @msleen1970 I believe this too. Almost a quarter million people are gone because of his negligence during this pandemic and 70+ million people didn’t give a fuck. If there was no COVID-19 or if people didn’t lose jobs over this pandemic, he definitely would have won re-election.",KC,-,52.5526566,-1.8830861
110,KennethHitchner,(+) 3 Buyer Insights to Consider When Engaging B2B Buyers In a COVID-19 World,"New Jersey, USA",+,40.0757384,-74.4041622
111,NunatsiaqNews,"(+) Qikiqtani #Inuit Association offers $1,000 per family for COVID-19 relief: #Inuit org reduces size of individual benefit to reach more people | Nunatsiaq News #nunavut","Iqaluit, Nunavut",+,63.7585754,-68.5604284
112,Scrappy_Pro,(+) White House chief of staff Mark Meadows tests positive for COVID-19 via @CBSPolitics,"Pennsylvania, USA",+,40.9699889,-77.7278831
113,sandranursing,(-) COVID-19 Shortages Prompt Tough Decisions at Bedside via @medscape,"South Carolina, USA",-,33.6874388,-80.4363743
114,MPSHaringey,"(+) Officers will be out patrolling across #NorthArea this weekend. We will continue to engage with people proportionately, fairly and with common sense, using the well-established 4Es approach to support the new Covid-19 regulations. 1. Explain 2. Engage 3. Encourage 4. Enforce","Haringey, North London",+,51.6014893,-0.1116958
115,gra1967,"(+) @Fla_Pol @mattgaetz @michaelgwaltz Who, this @MattGaetz who has mocked the COVID-19 crisis has tested positive for COVID-19","Tampa, Fl",+,27.9477595,-82.458444
116,jdepstein,"(+) 47 in isolation, more than 160 quarantined in Covid-19 spike at Niagara University via @TheBuffaloNews","Buffalo, N.Y.",+,42.8867166,-78.8783922
117,JohnsonBeverlyE,"(+) While Tater Head @tatereeves is fretting that his beloved state of MS will NEVER have mail in balloting because it is ""chaos,"" another 1031 Covid-19 cases were just reported for Friday, 967 the day before on Thursday, and a whopping 1,612 on Wednesday. @JxnFreePress #COVID19",United States,+,39.7837304,-100.4458825
118,apoliticalgal,() 😥😥 COVID-19 has not disappeared. 😷😷,United States,,39.7837304,-100.4458825
119,lttemple2,(-) @Laurie_Garrett @JimBrya68704905 Its past 11/3 and COVID-19 still has not magically gone away.,"Arizona, USA",-,34.395342,-111.7632755
120,NicoleSGrigg,"(+) BREAKING: Arizona is adding 2,621 new COVID-19 cases today. And, adding 38 deaths. This is more than 700 cases from just one week ago. #COVIDー19 #covid19","Phoenix, AZ",+,33.4485866,-112.0773456
121,umichdpss,"(+) Although the weather will be beautiful today and tomorrow, remember that COVID-19 is still on the rise nationwide. Be vigilant and follow health and safety protocols. For more information about @wcpublichealth emergency order:","Ann Arbor, MI",+,42.2681569,-83.7312291
122,globeandmail,"() Western Canada: Alberta, B.C., set records for COVID-19 infections as Kenney rules out lockdown",Canada,,61.0666922,-107.9917071
123,CBCPEI,"() COVID-19 on P.E.I.: What's happening Saturday, Nov. 7 #pei",Charlottetown,,46.234953,-63.132935
124,halftim62615236,() Covid-19 vaccination news,United States,,39.7837304,-100.4458825
125,gro_tsen,"(-) One of the intriguing and unexplained characteristics of the second covid-19 wave in Europe is that we are seeing a number of “secondary peaks”, wobbles if you like, in the data.","Paris, France",-,48.8566101,2.3514992
126,RogueWcpss,(+) @NickStevensHSOT You find COVID-19 funny?,"Cary, NC",+,35.7882973,-78.7811925
127,zimbabwedaily,"() As malaria season begins, COVID-19 complicates issues","Harare, Zimbabwe",,-17.831773,31.045686
129,JJREILLY3,() DeSantis office ‘leaks’ Florida records to fuel COVID-19 death ‘conspiracy’,Florida,,27.7567667,-81.4639835
130,fredwalton216,"(+) @MrMBrown @PriapusIQ Today’s adventure in scheduling, likely the result of the latest (third wave) of COVID-19 cases running wild at the White House, which hit CoS Mark Meadows and associated aides and staffers.",Pennsylvania,+,40.9699889,-77.7278831
131,Tvbona,(+) We REALLY need to examine turnout demographics by state and district against COVID-19 impacts and voting access before we say one more damn thing about who won where.,"Goshen, IN",+,41.5824086,-85.834366
132,ActivistPost,"(+) As with the first set of #lockdowns in the spring, the restrictions meant to curb the renewed spread of Covid-19 in Europe are happening fast and all at once.",The Blacklist,+,45.535193,-122.6419613
133,sparksjls,"() 5,077 Americans have died from COVID-19 since your dad lost his re-election bid on Tuesday.","Washington, D.C. ",,36.29885175,-82.3591933141095
134,bruinsfan1975,(+) West Hartford’s new GastroPark a space to join food trucks and diners in the era of COVID-19,New England,+,52.5934191,-0.2491985
135,Philly_Voter,(-) I’d like to offer my thoughts and prayers to the COVID-19 strain that is unfortunately having to endure living in the body of @mattgaetz,"Philadelphia, PA",-,39.9523993,-75.1635899
137,satishatx,() @DWUhlfelderLaw And Covid-19 is in quarantine from Gaetz.,"Austin, Texas",,30.2711286,-97.7436995
138,LibsInAmerica,() I don’t think Matt Gaetz is laughing about Covid-19 now that he has it.,United States,,39.7837304,-100.4458825
139,MisiahTaib,"(+) What is the current situation? 🇲🇾 COVID-19 risk in Malaysia is high. Over the last 14 days, new cases of COVID-19 in Malaysia increased. CDC recommends travelers avoid all nonessential international travel to Malaysia",Malaysia,+,2.3923759,112.8471939
140,dkiesow,() Seems like the President’s strategy to magically cure COVID-19 by losing the election has failed. Or maybe we just need to count faster.,University of Missouri,,38.94429415,-92.3264788076508
141,metsfansince02,"() There were 132,000 cases of COVID-19 in the US yesterday.","New York, USA",,40.7306458,-73.9866136
142,EvanDalka,(+) @MagicJohnson @UncleBuds_Hemp Why are we making deals with China right now??? There must be retribution for the irresponsible actions of releasing COVID-19 on the world!!!,"Torrance, CA",+,44.9955309,-79.5692407
143,SexyRebel2017,"(+) Matt Gaetz has COVID. I don’t wish COVID-19 to anyone, but I won’t lie, this made me smile.",United States,+,39.7837304,-100.4458825
144,VOJay_Pgh,(-) Danielle Allen: What Do COVID-19 and Extreme Inequality Mean for American Democracy? - Harvard Magazine via @AddThis,"Pittsburgh, PA.",-,40.4416941,-79.9900861
146,ALGovAffairs,"(+) COVID-19 reveals how obesity harms the body in real time, not just over a lifetime | PhillyVoice","Montgomery, AL",+,32.3669656,-86.3006485
147,PareeSass,(-) @jackshafer Like a bad case of Covid-19,North of Crazy,-,50.9396085,7.0189212
149,LuvofHearts,(-) @joncoopertweets He’s either very sick with COVID-19 or is stirring his witches brew of hateful DOJ prosecutions for next 2 months! @Bill19293640,Illinois,-,40.0796606,-89.4337288
150,ground_uncommon,(-) @CharlesBenson4 Is this the same half that doesn't accept that the COVID-19 infections are real? The same half that refuses to wear masks?,United States,-,39.7837304,-100.4458825
151,plymouthcc,"(+) Here are the latest COVID-19 figures for Plymouth and there's 79 new cases reported Please do your bit to help us all stay safe. Stay at home, wash your hands, wear a face covering and keep your distance from others.",Plymouth,+,50.3712659,-4.1425658
152,DefendWindrush,"(+) The world could learn a lot from how Africa is handling Covid-19 A young population, high burden of infectious diseases and expertise gained from HIV left Africa well-placed in the fight against Covid-19",United Kingdom,+,25.2232283,55.1594933008754
153,Lafcurve,"(-) This Panic Porn is classic &amp; to hear state officials say people aren’t wearing masks is false - I’d say it’s 90% + compliance- they don’t want to accept masks don’t work. Minnesota's COVID-19 situation is dire, and too few are taking steps to stop it","Minnesota, USA",-,45.9896587,-94.6113288
154,Bin_Yusuf_Alr,(+) @tosin_ayoko @mrmacaronii @PoliceNG Me too my state Government paid my school fees and also give scholarship and benefitted from covid-19 loan of about 2m and waiting for survival fund for my company and my employee by this I have to say that 9Ja IS GREAT. LONG LIFE FEDERAL REPUBLIC OF NIGERIA,"Aliero, Kebbi, Nigeria",+,12.287684,4.471219
155,BristolCouncil,"(+) @DawnParry @NorthBristolNHS Hi Dawn, bicycle shops are permitted to stay open during lockdown, provided they follow COVID-19 secure Guidelines. Please see the latest info on the government website for more details:",Bristol,+,51.4538022,-2.5972985
156,Dave_Alton,(+) Episode 7 | Social Antics 👇 We talk: 🎧 Why TikTok &amp; Sony’s licensing deal has business model implications 🛸 AirBnB’s IPO and why now? 🤳🏻 The Trip Advisor business model - adapting to change 🍺 Transforming space in a world of Covid-19 Listen:,"Cork, Ireland",+,51.8979282,-8.4705806
157,EnriqueThoughts,"(-) I really can't make any moves yet, because of this stupid ass COVID-19 virus 🤦🏽‍♂","Charleston, SC",-,32.7876012,-79.9402728
158,photoriphy,"(+) Reports: Matt Gaetz, Michael Waltz test positive for COVID-19","Tallahassee, FL",+,30.4380832,-84.2809332
159,pickettjessica,(-) I’ve been fangirling this study since the very first preprint iteration in May. One *very* important implication is that pediatric COVID-19 severity may be partially explained / mediated by recent “common cold” coronaviruses &amp; so could change in response to circulation patterns.,"Pittsburgh, PA",-,40.4416941,-79.9900861
160,ThisIsKingsport,"(+) Whether you have enjoyed the #ChristmasConnection for years or you’re visiting for the very first time, this incredible artisan and craft fair will have something for you. COVID-19 guidelines will be observed at this FREE event. #ThisIsKingsport","Kingsport, TN",+,36.550238,-82.5594293
161,Footballghana3,(-) Three Hearts of Oak players test positive for COVID-19 before the GPL opening game.,"Accra, Ghana",-,5.5600141,-0.2057437
162,bluevirginia,(+) It's irresponsible a**holes like Meadows who are heavily responsible for the fact that COVID-19 in this country is out of control.,Virginia,+,37.1232245,-78.4927721
164,CityofSanPablo,(+) Join us today from 9-3:30 at West County Health Center in San Pablo for a no-cost COVID-19 test and flu vaccine. Everyone is welcome!,"San Pablo, CA",+,37.9621457,-122.3455263
